tipo,regiao,tamanho,threads,total_mean,total_std,write_mean,write_std,mondelbrot_mean,mondelbrot_std,image_buffer_mean,image_buffer_std
PTH,0,64,4,0.0016530000000000004,0.00010530906893520615,0.00023600000000000002,4.060651288757616e-05,0.001267,9.298147963737487e-05,0.00013499999999999997,1.1785113019775796e-05
PTH,0,64,8,0.0015110000000000002,0.00021992170323902903,0.00020500000000000002,3.171049598406741e-05,0.0011589999999999999,0.00019214866929310526,0.00013700000000000002,2.79085809185793e-05
PTH,0,64,16,0.0015620000000000002,0.0001193314711214104,0.000163,1.6363916944844776e-05,0.001258,0.00011003029885748138,0.00012900000000000002,2.4244128727957574e-05
PTH,0,64,32,0.001653,0.0001046740974007737,0.000144,4.5752959831395975e-05,0.001397,0.00010349986580774981,0.000101,3.1622776601683788e-06
PTH,0,128,1,0.015368000000000001,0.0011717963418046108,0.0006370000000000001,0.0001371171437534749,0.014202000000000001,0.0010894218650275018,0.0005099999999999999,0.00011254628677422755
PTH,0,128,2,0.0063820000000000005,0.0007615014408682655,0.0006230000000000001,0.000566628430082517,0.005386,0.00044639792910710426,0.000363,7.484057129065162e-05
PTH,0,128,4,0.0053089999999999995,0.0013012681848446497,0.000617,0.00014537690478354687,0.003793,0.00019647165472686174,0.0008849999999999998,0.0012545494986027632
PTH,0,128,8,0.003496,0.00019044976007102525,0.0005030000000000001,0.00010100055005350768,0.0025740000000000003,0.00017846256999407158,0.0004090000000000001,2.8848262031225066e-05
PTH,0,128,16,0.003673,0.0004829550243610222,0.000454,7.026932316294057e-05,0.002809,0.0003751873606020805,0.00039500000000000006,9.857315388414164e-05
PTH,0,128,32,0.0034360000000000003,0.0004216686429466206,0.00035500000000000006,2.3687784005919825e-05,0.002738,0.0004227371129516152,0.00033,1.563471919941142e-05
PTH,0,256,1,0.058743000000000004,0.004924404194079388,0.00223,0.0004950420857529862,0.054725,0.0044478965065897534,0.001774,0.00041102041041507633
PTH,0,256,2,0.023332,0.0009489971314790975,0.001449,7.6804224420854e-05,0.020526,0.0007905581713082364,0.0013469999999999999,0.0002572957658242963
PTH,0,256,4,0.015516000000000002,0.00046051179258636935,0.001592,0.00017643380880344027,0.012384999999999998,0.0003514493799491856,0.001519,0.00014169215456992198
PTH,0,256,8,0.012052,0.0012972261003986769,0.001594,0.00010895462868144288,0.008873,0.0012447494169956902,0.0015689999999999999,0.00018597789593867813
PTH,0,256,16,0.011472,0.000741556920719285,0.0015609999999999999,0.00018363308827962102,0.008331,0.0006362991958714602,0.001567,0.0002449965986158448
PTH,0,256,32,0.009705999999999998,0.0005009590801652368,0.001275,6.240548408949681e-05,0.007098999999999999,0.0005101731732134359,0.001321,0.0001870502012235693
PTH,0,512,1,0.216894,0.015666088074422255,0.006703999999999999,0.0008128167758548727,0.203728,0.015082372934433536,0.006441999999999999,0.0007338452758510401
